what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1525840166735
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525840177810
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525840177878
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525840185310
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525840218416
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525840223157
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1525840232990
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1525840234353
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.saveAll",1525840263055
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525840276479
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525840305904
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525840347642
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1525840379263
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525840380102
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525840381492
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525840384344
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525840401595
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525840401656
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525840401681
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525840404831
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525840406052
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525840406395
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525840414742
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525840414764
